ro;komponen;kegiatan;mak;detail;modal;week;01-Jan;02-Feb;03-Mar;04-Apr;05-May;06-Jun;07-Jul;08-Aug;09-Sep;10-Oct;11-Nov;12-Dec
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;522191 - Belanja Jasa Lainnya;Jasa Konsultasi Kegiatan Uji Tantangan pada Minuman Teh Dalam Kemasan;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;522191 - Belanja Jasa Lainnya;Jasa Konsultasi Kegiatan Uji Tantangan pada Minuman Teh Dalam Kemasan;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;522191 - Belanja Jasa Lainnya;Jasa Konsultasi Kegiatan Uji Tantangan pada Minuman Teh Dalam Kemasan;RM;3;;;63096000;;;;;;63096000;;84128000;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;522191 - Belanja Jasa Lainnya;Jasa Konsultasi Kegiatan Uji Tantangan pada Minuman Teh Dalam Kemasan;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;524111 - Belanja Perjalanan Dinas Biasa;Kunjungan Lab. Uji Tantangan di Jawa Barat;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;524111 - Belanja Perjalanan Dinas Biasa;Kunjungan Lab. Uji Tantangan di Jawa Barat;RM;2;;;;;8370000;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;524111 - Belanja Perjalanan Dinas Biasa;Kunjungan Lab. Uji Tantangan di Jawa Barat;RM;3;;;;;;8370000;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;524111 - Belanja Perjalanan Dinas Biasa;Kunjungan Lab. Uji Tantangan di Jawa Barat;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Rapat Pembahasan;RM;1;;;;;;;;;;;;21390000
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Rapat Pembahasan;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Rapat Pembahasan;RM;3;;;;;21390000;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Rapat Pembahasan;RM;4;;;;;;;21390000;;;21390000;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Konsultasi Publik;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Konsultasi Publik;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Konsultasi Publik;RM;3;;;;;;24955000;;;;;;
4130.AFA;4130.AFA.001.051;051.B - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Pangan Olahan Tertentu;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Konsultasi Publik;RM;4;;;;;;;;24955000;;24955000;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;1;;;2760000;2760000;2760000;2760000;;;;;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;2;;;2760000;2760000;2760000;2760000;2760000;;2760000;2760000;2760000;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;3;;;2245000;;2760000;2760000;2760000;1350000;2760000;2760000;2760000;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;4;;;;;2245000;2760000;2760000;2760000;;;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;1;;;;;;;;;;;;1410000
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;3;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;521213 - Belanja Honor Output Kegiatan;Honor Tim Pelaksana Kegiatan dalam Rangka Penyusunan;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;521213 - Belanja Honor Output Kegiatan;Honor Tim Pelaksana Kegiatan dalam Rangka Penyusunan;RM;2;;;;;1600000;;;;;;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;521213 - Belanja Honor Output Kegiatan;Honor Tim Pelaksana Kegiatan dalam Rangka Penyusunan;RM;3;;;;;1600000;1600000;;;;1600000;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;521213 - Belanja Honor Output Kegiatan;Honor Tim Pelaksana Kegiatan dalam Rangka Penyusunan;RM;4;;;1600000;;;;;;;;;1600000
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Pertemuan;RM;1;;;9000000;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Pertemuan;RM;2;;;9000000;;9000000;9000000;9000000;9000000;;;18000000;9000000
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Pertemuan;RM;3;;;15000000;;9000000;9000000;12600000;;9000000;12600000;18000000;9000000
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Pertemuan;RM;4;;;;9000000;;;;;;9000000;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;FGD/Workshop/Konsultasi Publik;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;FGD/Workshop/Konsultasi Publik;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;FGD/Workshop/Konsultasi Publik;RM;3;;;;35260000;;;;;;;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;FGD/Workshop/Konsultasi Publik;RM;4;;;;;;;;35260000;;;35260000;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday Dalam Kota;RM;1;;;;;;;;;;;;21130000
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday Dalam Kota;RM;2;;;21130000;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday Dalam Kota;RM;3;;;;;;42260000;;42260000;;21130000;;
4130.AFA;4130.AFA.001.051;051.C - Penyusunan dan Revisi Peraturan, Standar, Pedoman dan Code of Practice di Bidang Mutu Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday Dalam Kota;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.D - Evaluasi Kualitas Kebijakan / Standar Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;1;;;;;;;1725000;;3450000;;1725000;1725000
4130.AFA;4130.AFA.001.051;051.D - Evaluasi Kualitas Kebijakan / Standar Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.D - Evaluasi Kualitas Kebijakan / Standar Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;3;;;;;;;1725000;;;3450000;;
4130.AFA;4130.AFA.001.051;051.D - Evaluasi Kualitas Kebijakan / Standar Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.D - Evaluasi Kualitas Kebijakan / Standar Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Pertemuan Pembahasan;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.D - Evaluasi Kualitas Kebijakan / Standar Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Pertemuan Pembahasan;RM;2;;;;;;;;;;;4000000;
4130.AFA;4130.AFA.001.051;051.D - Evaluasi Kualitas Kebijakan / Standar Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Pertemuan Pembahasan;RM;3;;;;;;;;4000000;;;;
4130.AFA;4130.AFA.001.051;051.D - Evaluasi Kualitas Kebijakan / Standar Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Pertemuan Pembahasan;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;1;;;;;;;;;;;;348000
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;3;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;521211 - Belanja Bahan;Penjilidan dan Pelaporan;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;1;;;1092000;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;2;;;;;;2275000;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;3;;;;;1092000;;;1092000;;2275000;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;4;;;;;;;;;;;1092000;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Rapat Pembahasan dan Rapat e-standar;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Rapat Pembahasan dan Rapat e-standar;RM;2;;;;;;12000000;;;;12000000;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Rapat Pembahasan dan Rapat e-standar;RM;3;;;8000000;;4000000;;;4000000;;;4000000;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber Rapat Pembahasan dan Rapat e-standar;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;522191 - Belanja Jasa Lainnya;Pembuatan Video Pelayanan Publik dan EO Kegiatan Pemberian Reward;RM;1;;;;;;;;;;;;30000000
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;522191 - Belanja Jasa Lainnya;Pembuatan Video Pelayanan Publik dan EO Kegiatan Pemberian Reward;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;522191 - Belanja Jasa Lainnya;Pembuatan Video Pelayanan Publik dan EO Kegiatan Pemberian Reward;RM;3;;;;;;;49751000;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;522191 - Belanja Jasa Lainnya;Pembuatan Video Pelayanan Publik dan EO Kegiatan Pemberian Reward;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;536111 - Belanja Modal Lainnya;Aplikasi Label Gizi;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;536111 - Belanja Modal Lainnya;Aplikasi Label Gizi;RM;2;;;;;;;;;;;;80000000
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;536111 - Belanja Modal Lainnya;Aplikasi Label Gizi;RM;3;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;536111 - Belanja Modal Lainnya;Aplikasi Label Gizi;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday Dalam Kota;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday Dalam Kota;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday Dalam Kota;RM;3;;;;;;;;;;;21390000;
4130.AFA;4130.AFA.001.051;051.E - Evaluasi Pelayanan Publik Direktorat Standardisasi Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pertemuan Fullday Dalam Kota;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;521211 - Belanja Bahan;Pembelian Sampel;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;521211 - Belanja Bahan;Pembelian Sampel;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;521211 - Belanja Bahan;Pembelian Sampel;RM;3;;;;;;;;;;;2115000;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;521211 - Belanja Bahan;Pembelian Sampel;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;1;;2093000;;;2093000;;1395000;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;2;;;2093000;;2093000;2093000;1395000;1395000;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;3;;;2093000;;;2093000;;;1395000;1395000;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;521211 - Belanja Bahan;Makan Siang dan Snack;RM;4;;;;;;2093000;;;;1397000;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;521213 - Belanja Honor Output Kegiatan;Honor Tim Pelaksana Workshop;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;521213 - Belanja Honor Output Kegiatan;Honor Tim Pelaksana Workshop;RM;2;;;;;;;;;;;3100000;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;521213 - Belanja Honor Output Kegiatan;Honor Tim Pelaksana Workshop;RM;3;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;521213 - Belanja Honor Output Kegiatan;Honor Tim Pelaksana Workshop;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber;RM;2;;;12000000;;12000000;;12000000;12000000;6000000;11300000;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber;RM;3;;;;;;12000000;;;12000000;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;522151 - Belanja Jasa Profesi;Honor Narasumber;RM;4;;;;3000000;;;14700000;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;522191 - Belanja Jasa Lainnya;Pengujian Keamanan;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;522191 - Belanja Jasa Lainnya;Pengujian Keamanan;RM;2;;;;;;;;25000000;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;522191 - Belanja Jasa Lainnya;Pengujian Keamanan;RM;3;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;522191 - Belanja Jasa Lainnya;Pengujian Keamanan;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;524111 - Belanja Perjalanan Dinas Biasa;Perjalanan Dinas - Manado, Pontianak, Purbalingga;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;524111 - Belanja Perjalanan Dinas Biasa;Perjalanan Dinas - Manado, Pontianak, Purbalingga;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;524111 - Belanja Perjalanan Dinas Biasa;Perjalanan Dinas - Manado, Pontianak, Purbalingga;RM;3;;;;34984000;;;;;;28696000;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;524111 - Belanja Perjalanan Dinas Biasa;Perjalanan Dinas - Manado, Pontianak, Purbalingga;RM;4;;;;;;29900000;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pembahasan dan Workhop;RM;1;;;;19280000;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pembahasan dan Workhop;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pembahasan dan Workhop;RM;3;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;524114 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Pembahasan dan Workhop;RM;4;;;;;;19280000;;;19280000;66600000;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;524119 - Belanja Perjalanan Dinas Paket Meeting Luar Kota;Pertemuan Fullboard;RM;1;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;524119 - Belanja Perjalanan Dinas Paket Meeting Luar Kota;Pertemuan Fullboard;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;524119 - Belanja Perjalanan Dinas Paket Meeting Luar Kota;Pertemuan Fullboard;RM;3;;;;;;;;;;;48000000;
4130.AFA;4130.AFA.001.051;051.F - Fasilitasi Standardisasi Keamanan, Mutu, dan Manfaat Pangan Olahan;524119 - Belanja Perjalanan Dinas Paket Meeting Luar Kota;Pertemuan Fullboard;RM;4;;;;;;48000000;;;;;;
4130.AFA;4130.AFA.001.051;051.G - Automatic Adjusment (Pemblokiran);524219 - Belanja Perjalanan Dinas Lainnya - Luar Negeri;Sidang Codex;RM;1;;;;;;;;;;;;122400000
4130.AFA;4130.AFA.001.051;051.G - Automatic Adjusment (Pemblokiran);524219 - Belanja Perjalanan Dinas Lainnya - Luar Negeri;Sidang Codex;RM;2;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.G - Automatic Adjusment (Pemblokiran);524219 - Belanja Perjalanan Dinas Lainnya - Luar Negeri;Sidang Codex;RM;3;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.G - Automatic Adjusment (Pemblokiran);524219 - Belanja Perjalanan Dinas Lainnya - Luar Negeri;Sidang Codex;RM;4;;;;;;;;;;;;
4130.AFA;4130.AFA.001.051;051.H - Automatic Adjusment (Pemblokiran) Tahap 2;521131 - Belanja Barang Operasional - Penanganan Pandemi COVID-19;Blokir Tahap 2;RM;4;;;;;;;;;;;;50800000
4130.AFA;4130.AFA.001.051;051.H - Automatic Adjusment (Pemblokiran) Tahap 2;521211 - Belanja Bahan;Blokir Tahap 2;RM;4;;;;;;;;;;;;633000
4130.AFA;4130.AFA.001.051;051.H - Automatic Adjusment (Pemblokiran) Tahap 2;521213 - Belanja Honor Output Kegiatan;Blokir Tahap 2;RM;4;;;;;;;;;;;;113750000
4130.AFA;4130.AFA.001.051;051.H - Automatic Adjusment (Pemblokiran) Tahap 2;522191 - Belanja Jasa Lainnya;Blokir Tahap 2;RM;4;;;;;;;;;;;;176964000
4130.AFA;4130.AFA.001.051;051.H - Automatic Adjusment (Pemblokiran) Tahap 2;522192 - Belanja Jasa - Penanganan Pandemi COVID-19;Blokir Tahap 2;RM;4;;;;;;;;;;;;15000000
